"Order","Level","Ref","Parent","Code","Parent","Description_NL","Unit","Description_unit_NL"
"2203516","5","080251000080","080251000010","0802 51 00",,"-- in de dop","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203517","5","080252000080","080251000010","0802 52 00",,"-- zonder dop","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203518","4","080261000010","080200000080",,"0802","- macadamianoten",,
"2203519","5","080261000080","080261000010","0802 61 00",,"-- in de dop","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203520","5","080262000080","080261000010","0802 62 00",,"-- zonder dop","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203521","4","080270000080","080200000080","0802 70 00","0802","- colanoten (Cola spp.)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203522","4","080280000080","080200000080","0802 80 00","0802","- arecanoten (of betelnoten)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203523","4","080290000080","080200000080","0802 90","0802","- andere",,
"2203524","5","080290100080","080290000080","0802 90 10","0802 90","-- pecannoten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203525","5","080290500080","080290000080","0802 90 50","0802 90","-- pingels of pignolen (Pinus spp.)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203526","5","080290850080","080290000080","0802 90 85","0802 90","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203527","3","080300000080","080021000090","0803","08","Bananen, plantains daaronder begrepen, vers of gedroogd",,
"2203528","4","080310000080","080300000080","0803 10","0803","- plantains",,
"2203529","5","080310100080","080310000080","0803 10 10","0803 10","-- vers","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203530","5","080310900080","080310000080","0803 10 90","0803 10","-- gedroogd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203531","4","080390000080","080300000080","0803 90","0803","- andere",,
"2203532","5","080390100080","080390000080","0803 90 10","0803 90","-- vers","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203533","5","080390900080","080390000080","0803 90 90","0803 90","-- gedroogd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203534","3","080400000080","080021000090","0804","08","Dadels, vijgen, ananassen, avocado's, guaves, manga's en manggistans, vers of gedroogd",,
"2203535","4","080410000080","080400000080","0804 10 00","0804","- dadels","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203536","4","080420000080","080400000080","0804 20","0804","- vijgen",,
"2203537","5","080420100080","080420000080","0804 20 10","0804 20","-- vers","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203538","5","080420900080","080420000080","0804 20 90","0804 20","-- gedroogd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203539","4","080430000080","080400000080","0804 30 00","0804","- ananassen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203540","4","080440000080","080400000080","0804 40 00","0804","- avocado's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203541","4","080450000080","080400000080","0804 50 00","0804","- guaves, manga's en manggistans","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203542","3","080500000080","080021000090","0805","08","Citrusvruchten, vers of gedroogd",,
"2203543","4","080510000080","080500000080","0805 10","0805","- sinaasappelen",,
"2203544","5","080510220010","080510000080",,"0805 10","-- andere dan pomeransen (bittere oranjeappelen), vers",,
"2203545","6","080510220080","080510220010","0805 10 22",,"--- navelsinaasappelen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203546","6","080510240080","080510220010","0805 10 24",,"--- blonde sinaasappelen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203547","6","080510280080","080510220010","0805 10 28",,"--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203548","5","080510800080","080510000080","0805 10 80","0805 10","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203549","4","080521000010","080500000080",,"0805","- mandarijnen (tangerines en satsuma's daaronder begrepen); clementines, wilkings en dergelijke kruisingen van citrusvruchten",,
"2203550","5","080521000080","080521000010","0805 21",,"-- mandarijnen (tangerines en satsuma’s daaronder begrepen)",,
"2203551","6","080521100080","080521000080","0805 21 10","0805 21","--- satsumas","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203552","6","080521900080","080521000080","0805 21 90","0805 21","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203553","5","080522000080","080521000010","0805 22 00",,"-- clementines","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203554","5","080529000080","080521000010","0805 29 00",,"-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203555","4","080540000080","080500000080","0805 40 00","0805","- pompelmoezen, grapefruits en pomelo's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203556","4","080550000080","080500000080","0805 50","0805","- citroenen (Citrus limon, Citrus limonum) en lemmetjes (Citrus aurantifolia, Citrus latifolia)",,
"2203557","5","080550100080","080550000080","0805 50 10","0805 50","-- citroenen (Citrus limon, Citrus limonum)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203558","5","080550900080","080550000080","0805 50 90","0805 50","-- lemmetjes (Citrus aurantifolia, Citrus latifolia)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203559","4","080590000080","080500000080","0805 90 00","0805","- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203560","3","080600000080","080021000090","0806","08","Druiven, rozijnen en krenten",,
"2203561","4","080610000080","080600000080","0806 10","0806","- druiven",,
"2203562","5","080610100080","080610000080","0806 10 10","0806 10","-- voor tafelgebruik","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203563","5","080610900080","080610000080","0806 10 90","0806 10","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203564","4","080620000080","080600000080","0806 20","0806","- rozijnen en krenten",,
"2203565","5","080620100080","080620000080","0806 20 10","0806 20","-- krenten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203566","5","080620300080","080620000080","0806 20 30","0806 20","-- sultana's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203567","5","080620900080","080620000080","0806 20 90","0806 20","-- andere rozijnen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203568","3","080700000080","080021000090","0807","08","Meloenen (watermeloenen daaronder begrepen) en papaja's, vers",,
"2203569","4","080711000010","080700000080",,"0807","- meloenen (watermeloenen daaronder begrepen)",,
"2203570","5","080711000080","080711000010","0807 11 00",,"-- watermeloenen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203571","5","080719000080","080711000010","0807 19 00",,"-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203572","4","080720000080","080700000080","0807 20 00","0807","- papaja's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203573","3","080800000080","080021000090","0808","08","Appelen, peren en kweeperen, vers",,
"2203574","4","080810000080","080800000080","0808 10","0808","- appelen",,
"2203575","5","080810100080","080810000080","0808 10 10","0808 10","-- persappelen, los verladen, van 16 september tot en met 15 december","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203576","5","080810800080","080810000080","0808 10 80","0808 10","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203577","4","080830000080","080800000080","0808 30","0808","- peren",,
"2203578","5","080830100080","080830000080","0808 30 10","0808 30","-- persperen, los verladen, van 1 augustus tot en met 31 december","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203579","5","080830900080","080830000080","0808 30 90","0808 30","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203580","4","080840000080","080800000080","0808 40 00","0808","- kweeperen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203581","3","080900000080","080021000090","0809","08","Abrikozen, kersen, perziken (nectarines daaronder begrepen), pruimen en sleepruimen, vers",,
"2203582","4","080910000080","080900000080","0809 10 00","0809","- abrikozen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203583","4","080921000010","080900000080",,"0809","- kersen",,
"2203584","5","080921000080","080921000010","0809 21 00",,"-- zure kersen (Prunus cerasus)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203585","5","080929000080","080921000010","0809 29 00",,"-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203586","4","080930000080","080900000080","0809 30","0809","- perziken (nectarines daaronder begrepen)",,
"2203587","5","080930100080","080930000080","0809 30 10","0809 30","-- nectarines","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203588","5","080930900080","080930000080","0809 30 90","0809 30","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203589","4","080940000080","080900000080","0809 40","0809","- pruimen en sleepruimen",,
"2203590","5","080940050080","080940000080","0809 40 05","0809 40","-- pruimen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203591","5","080940900080","080940000080","0809 40 90","0809 40","-- sleepruimen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203592","3","081000000080","080021000090","0810","08","Ander fruit, vers",,
"2203593","4","081010000080","081000000080","0810 10 00","0810","- aardbeien","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203594","4","081020000080","081000000080","0810 20","0810","- frambozen, bramen, moerbeien en loganbessen",,
"2203595","5","081020100080","081020000080","0810 20 10","0810 20","-- frambozen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203596","5","081020900080","081020000080","0810 20 90","0810 20","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203597","4","081030000080","081000000080","0810 30","0810","- zwarte, witte of rode aalbessen en kruisbessen",,
"2203598","5","081030100080","081030000080","0810 30 10","0810 30","-- zwarte aalbessen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203599","5","081030300080","081030000080","0810 30 30","0810 30","-- rode aalbessen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203600","5","081030900080","081030000080","0810 30 90","0810 30","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203601","4","081040000080","081000000080","0810 40","0810","- veenbessen, bosbessen en andere vruchten van het geslacht Vaccinium",,
"2203602","5","081040100080","081040000080","0810 40 10","0810 40","-- rode bosbessen (vruchten van de Vaccinium vitis-idaea)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203603","5","081040300080","081040000080","0810 40 30","0810 40","-- blauwe bosbessen (vruchten van de Vaccinium myrtillus)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203604","5","081040500080","081040000080","0810 40 50","0810 40","-- vruchten van de Vaccinium macrocarpon en van de Vaccinium corymbosum","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203605","5","081040900080","081040000080","0810 40 90","0810 40","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203606","4","081050000080","081000000080","0810 50 00","0810","- kiwi's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203607","4","081060000080","081000000080","0810 60 00","0810","- doerians","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203608","4","081070000080","081000000080","0810 70 00","0810","- dadelpruimen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203609","4","081090000080","081000000080","0810 90","0810","- ander",,
"2203610","5","081090200080","081090000080","0810 90 20","0810 90","-- tamarindevruchten, cashewappelen, lychees, nangka's („jackfruit”), sapodilla's, passievruchten, carambola's en pitahaya's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203611","5","081090750080","081090000080","0810 90 75","0810 90","-- ander","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203612","3","081100000080","080021000090","0811","08","Vruchten, ook indien gestoomd of in water gekookt, bevroren, al dan niet met toegevoegde suiker of andere zoetstoffen",,
"2203613","4","081110000080","081100000080","0811 10","0811","- aardbeien",,
"2203614","5","081110110010","081110000080",,"0811 10","-- met toegevoegde suiker of andere zoetstoffen",,
"2203615","6","081110110080","081110110010","0811 10 11",,"--- met een suikergehalte van meer dan 13 gewichtspercenten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203616","6","081110190080","081110110010","0811 10 19",,"--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203617","5","081110900080","081110000080","0811 10 90","0811 10","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203618","4","081120000080","081100000080","0811 20","0811","- frambozen, bramen, moerbeien, loganbessen, zwarte, witte of rode aalbessen en kruisbessen",,
"2203619","5","081120110010","081120000080",,"0811 20","-- met toegevoegde suiker of andere zoetstoffen",,
"2203620","6","081120110080","081120110010","0811 20 11",,"--- met een suikergehalte van meer dan 13 gewichtspercenten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203621","6","081120190080","081120110010","0811 20 19",,"--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203622","5","081120310010","081120000080",,"0811 20","-- andere",,
"2203623","6","081120310080","081120310010","0811 20 31",,"--- frambozen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203624","6","081120390080","081120310010","0811 20 39",,"--- zwarte aalbessen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203625","6","081120510080","081120310010","0811 20 51",,"--- rode aalbessen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203626","6","081120590080","081120310010","0811 20 59",,"--- bramen en moerbeien","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203627","6","081120900080","081120310010","0811 20 90",,"--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203628","4","081190000080","081100000080","0811 90","0811","- andere",,
"2203629","5","081190110010","081190000080",,"0811 90","-- met toegevoegde suiker of andere zoetstoffen",,
"2203630","6","081190110020","081190110010",,,"--- met een suikergehalte van meer dan 13 gewichtspercenten",,
"2203631","7","081190110080","081190110020","0811 90 11",,"---- tropische vruchten en tropische noten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203632","7","081190190080","081190110020","0811 90 19",,"---- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203633","6","081190310010","081190110010",,,"--- andere",,
"2203634","7","081190310080","081190310010","0811 90 31",,"---- tropische vruchten en tropische noten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203635","7","081190390080","081190310010","0811 90 39",,"---- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203636","5","081190500010","081190000080",,"0811 90","-- andere",,
"2203637","6","081190500080","081190500010","0811 90 50",,"--- blauwe bosbessen (vruchten van de Vaccinium myrtillus)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203638","6","081190700080","081190500010","0811 90 70",,"--- blauwe bosbessen (vruchten van de Vaccinium myrtilloides en van de Vaccinium angustifolium)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203639","6","081190750010","081190500010",,,"--- kersen",,
"2203640","7","081190750080","081190750010","0811 90 75",,"---- zure kersen (Prunus cerasus)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203641","7","081190800080","081190750010","0811 90 80",,"---- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203642","6","081190850080","081190500010","0811 90 85",,"--- tropische vruchten en tropische noten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203643","6","081190950080","081190500010","0811 90 95",,"--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203644","3","081200000080","080021000090","0812","08","Vruchten, voorlopig verduurzaamd (bijvoorbeeld door middel van zwaveldioxide of in water waaraan, voor het voorlopig verduurzamen, zout, zwavel of andere stoffen zijn toegevoegd), doch als zodanig niet geschikt voor dadelijke consumptie",,
"2203645","4","081210000080","081200000080","0812 10 00","0812","- kersen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203646","4","081290000080","081200000080","0812 90","0812","- andere",,
"2203647","5","081290250080","081290000080","0812 90 25","0812 90","-- abrikozen; sinaasappelen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203648","5","081290300080","081290000080","0812 90 30","0812 90","-- papaja's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203649","5","081290400080","081290000080","0812 90 40","0812 90","-- blauwe bosbessen (vruchten van de Vaccinium myrtillus)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203650","5","081290700080","081290000080","0812 90 70","0812 90","-- guaves, manga's, manggistans, tamarindevruchten, cashewappelen, lychees, nangka's („jackfruit”), sapodilla's, passievruchten, carambola's, pitahaya's en tropische noten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203651","5","081290980080","081290000080","0812 90 98","0812 90","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203652","3","081300000080","080021000090","0813","08","Vruchten, andere dan bedoeld bij de posten 0801 tot en met 0806, gedroogd; mengsels van noten of gedroogde vruchten, bedoeld bij dit hoofdstuk",,
"2203653","4","081310000080","081300000080","0813 10 00","0813","- abrikozen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203654","4","081320000080","081300000080","0813 20 00","0813","- pruimen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203655","4","081330000080","081300000080","0813 30 00","0813","- appelen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203656","4","081340000080","081300000080","0813 40","0813","- andere vruchten",,
"2203657","5","081340100080","081340000080","0813 40 10","0813 40","-- perziken, nectarines daaronder begrepen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203658","5","081340300080","081340000080","0813 40 30","0813 40","-- peren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203659","5","081340500080","081340000080","0813 40 50","0813 40","-- papaja's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203660","5","081340650080","081340000080","0813 40 65","0813 40","-- tamarindevruchten, cashewappelen, lychees, nangka's („jackfruit”), sapodilla's, passievruchten, carambola's en pitahaya's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203661","5","081340950080","081340000080","0813 40 95","0813 40","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203662","4","081350000080","081300000080","0813 50","0813","- mengsels van noten of gedroogde vruchten, bedoeld bij dit hoofdstuk",,
"2203663","5","081350120010","081350000080",,"0813 50","-- mengsels van gedroogde vruchten, andere dan bedoeld bij de posten 0801 tot en met 0806",,
"2203664","6","081350120020","081350120010",,,"--- zonder pruimen",,
"2203665","7","081350120080","081350120020","0813 50 12",,"---- van papaja's, tamarindevruchten, cashewappelen, lychees, nangka's („jackfruit”), sapodilla's, passievruchten, carambola's en pitahaya's","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203666","7","081350150080","081350120020","0813 50 15",,"---- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203667","6","081350190080","081350120010","0813 50 19",,"--- met pruimen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203668","5","081350310010","081350000080",,"0813 50","-- mengsels uitsluitend bestaande uit noten bedoeld bij de posten 0801 en 0802",,
"2203669","6","081350310080","081350310010","0813 50 31",,"--- van tropische noten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203670","6","081350390080","081350310010","0813 50 39",,"--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203671","5","081350910010","081350000080",,"0813 50","-- andere mengsels",,
"2203672","6","081350910080","081350910010","0813 50 91",,"--- geen pruimen of vijgen bevattend","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203673","6","081350990080","081350910010","0813 50 99",,"--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203674","3","081400000080","080021000090","0814 00 00","08","Schillen van citrusvruchten en van meloenen (watermeloenen daaronder begrepen), vers, bevroren, gedroogd, dan wel in water waaraan, voor het voorlopig verduurzamen, zout, zwavel of andere stoffen zijn toegevoegd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203675","2","090021000090","060011000090","09","II","HOOFDSTUK 9 - KOFFIE, THEE, MATÉ EN SPECERIJEN",,
"2203676","3","090100000080","090021000090","0901","09","Koffie, cafeïnevrije koffie daaronder begrepen, ook indien gebrand; bolsters en schillen, van koffie; koffiesurrogaten die koffie bevatten, ongeacht de mengverhouding",,
"2203677","4","090111000010","090100000080",,"0901","- koffie, ongebrand",,
"2203678","5","090111000080","090111000010","0901 11 00",,"-- waaruit geen cafeïne is verwijderd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203679","5","090112000080","090111000010","0901 12 00",,"-- waaruit cafeïne is verwijderd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203680","4","090121000010","090100000080",,"0901","- koffie, gebrand",,
"2203681","5","090121000080","090121000010","0901 21 00",,"-- waaruit geen cafeïne is verwijderd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203682","5","090122000080","090121000010","0901 22 00",,"-- waaruit cafeïne is verwijderd","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203683","4","090190000080","090100000080","0901 90","0901","- andere",,
"2203684","5","090190100080","090190000080","0901 90 10","0901 90","-- bolsters en schillen, van koffie","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203685","5","090190900080","090190000080","0901 90 90","0901 90","-- koffiesurrogaten die koffie bevatten","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203686","3","090200000080","090021000090","0902","09","Thee, ook indien gearomatiseerd",,
"2203687","4","090210000080","090200000080","0902 10 00","0902","- groene (niet-gefermenteerde) thee in onmiddellijke verpakkingen met een inhoud van niet meer dan 3 kg","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203688","4","090220000080","090200000080","0902 20 00","0902","- andere groene (niet-gefermenteerde) thee","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203689","4","090230000080","090200000080","0902 30 00","0902","- zwarte (gefermenteerde) thee en gedeeltelijk gefermenteerde thee, in onmiddellijke verpakkingen met een inhoud van niet meer dan 3 kg","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203690","4","090240000080","090200000080","0902 40 00","0902","- andere zwarte (gefermenteerde) thee en andere gedeeltelijk gefermenteerde thee","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203691","3","090300000080","090021000090","0903 00 00","09","Maté","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203692","3","090400000080","090021000090","0904","09","Peper van het geslacht Piper; vruchten van de geslachten Capsicum en Pimenta, gedroogd, fijngemaakt of gemalen",,
"2203693","4","090411000010","090400000080",,"0904","- peper van het geslacht Piper",,
"2203694","5","090411000080","090411000010","0904 11 00",,"-- niet fijngemaakt en niet gemalen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203695","5","090412000080","090411000010","0904 12 00",,"-- fijngemaakt of gemalen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2203696","4","090421000010","090400000080",,"0904","- vruchten van de geslachten Capsicum en Pimenta",,
"2203697","5","090421000080","090421000010","0904 21",,"-- gedroogd, niet fijngemaakt en niet gemalen",,
