"Order","Level","Ref","Parent","Code","Parent_code","Description","Description_EN","Unit","Description_unit_EN"
"2204187","5","151221000080","151221000010","1512 21",,"-- Crude oil, whether or not gossypol has been removed","Crude cotton-seed oil",,
"2204188","6","151221100080","151221000080","1512 21 10","1512 21","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Crude cotton-seed oil, for technical or industrial uses (excl. for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204189","6","151221900080","151221000080","1512 21 90","1512 21","--- Other","Crude cotton-seed oil (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204190","5","151229000080","151221000010","1512 29",,"-- Other","Cotton-seed oil and its fractions, whether or not refined, but not chemically modified (excl. crude)",,
"2204191","6","151229100080","151229000080","1512 29 10","1512 29","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Cotton-seed oil and its fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude and for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204192","6","151229900080","151229000080","1512 29 90","1512 29","--- Other","Cotton-seed oil and its fractions, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204193","3","151300000080","150021000090","1513","15","Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified","Coconut ""copra"", palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified",,
"2204194","4","151311000010","151300000080",,"1513","- Coconut (copra) oil and its fractions",,,
"2204195","5","151311000080","151311000010","1513 11",,"-- Crude oil","Crude coconut oil",,
"2204196","6","151311100080","151311000080","1513 11 10","1513 11","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Crude coconut oil, for technical or industrial uses (excl. for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204197","6","151311910010","151311000080",,"1513 11","--- Other",,,
"2204198","7","151311910080","151311910010","1513 11 91",,"---- In immediate packings of a net content not exceeding 1 kg","Crude coconut oil, in immediate packings of <= 1 kg (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204199","7","151311990080","151311910010","1513 11 99",,"---- Other","Crude coconut oil, in immediate packings of > 1 kg or put up otherwise (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204200","5","151319000080","151311000010","1513 19",,"-- Other","Coconut oil and its fractions, whether or not refined, but not chemically modified (excl. crude)",,
"2204201","6","151319110010","151319000080",,"1513 19","--- Solid fractions",,,
"2204202","7","151319110080","151319110010","1513 19 11",,"---- In immediate packings of a net content not exceeding 1 kg","Solid coconut oil fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204203","7","151319190080","151319110010","1513 19 19",,"---- Other","Solid coconut oil fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204204","6","151319300010","151319000080",,"1513 19","--- Other",,,
"2204205","7","151319300080","151319300010","1513 19 30",,"---- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Coconut oil and its liquid fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204206","7","151319910010","151319300010",,,"---- Other",,,
"2204207","8","151319910080","151319910010","1513 19 91",,"----- In immediate packings of a net content not exceeding 1 kg","Coconut oil and its liquid fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204208","8","151319990080","151319910010","1513 19 99",,"----- Other","Coconut oil and its liquid fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204209","4","151321000010","151300000080",,"1513","- Palm kernel or babassu oil and fractions thereof",,,
"2204210","5","151321000080","151321000010","1513 21",,"-- Crude oil","Crude palm kernel and babassu oil",,
"2204211","6","151321100080","151321000080","1513 21 10","1513 21","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Crude palm kernel and babassu oil, for technical or industrial uses (excl. for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204212","6","151321300010","151321000080",,"1513 21","--- Other",,,
"2204213","7","151321300080","151321300010","1513 21 30",,"---- In immediate packings of a net content not exceeding 1 kg","Crude palm kernel and babassu oil, in immediate packings of <= 1 kg (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204214","7","151321900080","151321300010","1513 21 90",,"---- Other","Raw palm kernel oil and babassu oil in immediate packings of a net content of > 1 kg or put up otherwise (excl. oils for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204215","5","151329000080","151321000010","1513 29",,"-- Other","Palm kernel and babassu oil and their fractions, whether or not refined, but not chemically modified (excl. crude)",,
"2204216","6","151329110010","151329000080",,"1513 29","--- Solid fractions",,,
"2204217","7","151329110080","151329110010","1513 29 11",,"---- In immediate packings of a net content not exceeding 1 kg","Solid palm kernel and babassu oil fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204218","7","151329190080","151329110010","1513 29 19",,"---- Other","Solid palm kernel and babassu oil fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204219","6","151329300010","151329000080",,"1513 29","--- Other",,,
"2204220","7","151329300080","151329300010","1513 29 30",,"---- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Palm kernel and babassu oil and their liquid fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204221","7","151329500010","151329300010",,,"---- Other",,,
"2204222","8","151329500080","151329500010","1513 29 50",,"----- In immediate packings of a net content not exceeding 1 kg","Palm kernel and babassu oil and their liquid fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204223","8","151329900080","151329500010","1513 29 90",,"----- Other","Palm kernel and babassu oil and their liquid fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg or put up otherwise (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204224","3","151400000080","150021000090","1514","15","Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified","Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified",,
"2204225","4","151411000010","151400000080",,"1514","- Low-erucic-acid rape or colza oil and its fractions",,,
"2204226","5","151411000080","151411000010","1514 11",,"-- Crude oil","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"", crude",,
"2204227","6","151411100080","151411000080","1514 11 10","1514 11","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"", crude, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204228","6","151411900080","151411000080","1514 11 90","1514 11","--- Other","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"", crude (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204229","5","151419000080","151411000010","1514 19",,"-- Other","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"" and its fractions, whether or not refined, but not chemically modified (excl. crude)",,
"2204230","6","151419100080","151419000080","1514 19 10","1514 19","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"" and its fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204231","6","151419900080","151419000080","1514 19 90","1514 19","--- Other","Low erucic acid rape or colza oil ""fixed oil which has an erucic acid content of < 2%"" and its fractions, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204232","4","151491000010","151400000080",,"1514","- Other",,,
"2204233","5","151491000080","151491000010","1514 91",,"-- Crude oil","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"" and mustard oil, crude",,
"2204234","6","151491100080","151491000080","1514 91 10","1514 91","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, crude, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204235","6","151491900080","151491000080","1514 91 90","1514 91","--- Other","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, crude (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204236","5","151499000080","151491000010","1514 99",,"-- Other","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified (excl. crude)",,
"2204237","6","151499100080","151499000080","1514 99 10","1514 99","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs for human consumption and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204238","6","151499900080","151499000080","1514 99 90","1514 99","--- Other","High erucic acid rape or colza oil ""fixed oil which has an erucic acid content of >= 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204239","3","151500000080","150021000090","1515","15","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified","Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, but not chemically modified (excl. soya-bean, groundnut, olive, palm, sunflower-seed, safflower, cotton-seed, coconut, palm kernel, babassu, rape, colza and mustard oil)",,
"2204240","4","151511000010","151500000080",,"1515","- Linseed oil and its fractions",,,
"2204241","5","151511000080","151511000010","1515 11 00",,"-- Crude oil","Crude linseed oil","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204242","5","151519000080","151511000010","1515 19",,"-- Other","Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excl. crude)",,
"2204243","6","151519100080","151519000080","1515 19 10","1515 19","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Linseed oil and fractions thereof, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude and for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204244","6","151519900080","151519000080","1515 19 90","1515 19","--- Other","Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204245","4","151521000010","151500000080",,"1515","- Maize (corn) oil and its fractions",,,
"2204246","5","151521000080","151521000010","1515 21",,"-- Crude oil","Crude maize oil",,
"2204247","6","151521100080","151521000080","1515 21 10","1515 21","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Crude maize oil, for technical or industrial uses (excl. for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204248","6","151521900080","151521000080","1515 21 90","1515 21","--- Other","Crude maize oil (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204249","5","151529000080","151521000010","1515 29",,"-- Other","Maize oil and fractions thereof, whether or not refined, but not chemically modified (excl. crude)",,
"2204250","6","151529100080","151529000080","1515 29 10","1515 29","--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Maize oil and fractions thereof, whether or not refined, but not chemically modified, for industrial uses (excl. crude and for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204251","6","151529900080","151529000080","1515 29 90","1515 29","--- Other","Maize oil and fractions thereof, whether or not refined, but not chemically modified (excl. for industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204252","4","151530000080","151500000080","1515 30","1515","- Castor oil and its fractions","Castor oil and fractions thereof, whether or not refined, but not chemically modified",,
"2204253","5","151530100080","151530000080","1515 30 10","1515 30","-- For the production of aminoundecanoic acid for use in the manufacture of synthetic textile fibres or of artificial plastic materials","Castor oil and fractions thereof, whether or not refined, but not chemically modified, for production of aminoundecanoic acid for manufacture of synthetic textile fibres or artificial plastic materials","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204254","5","151530900080","151530000080","1515 30 90","1515 30","-- Other","Castor oil and fractions thereof, whether or not refined, but not chemically modified (excl. for production of aminoundecanoic acid for manufacture of synthetic textile fibres or artificial plastic materials)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204255","4","151550000080","151500000080","1515 50","1515","- Sesame oil and its fractions","Sesame oil and its fractions, whether or not refined, but not chemically modified",,
"2204256","5","151550110010","151550000080",,"1515 50","-- Crude oil",,,
"2204257","6","151550110080","151550110010","1515 50 11",,"--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Crude sesame oil, for technical or industrial uses (excl. for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204258","6","151550190080","151550110010","1515 50 19",,"--- Other","Crude sesame oil (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204259","5","151550910010","151550000080",,"1515 50","-- Other",,,
"2204260","6","151550910080","151550910010","1515 50 91",,"--- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Sesame oil and its fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204261","6","151550990080","151550910010","1515 50 99",,"--- Other","Sesame oil and its fractions, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204262","4","151590000080","151500000080","1515 90","1515","- Other","Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically modified (excl. soya-bean, groundnut, olive, palm, sunflower-seed, safflower, cotton-seed, coconut, palm kernel, babassu, rape, colza and mustard, linseed, maize, castor and sesame oil)",,
"2204263","5","151590110080","151590000080","1515 90 11","1515 90","-- Tung oil; jojoba and oiticica oils; myrtle wax and Japan wax; their fractions","Tung, jojoba and oiticica oils, myrtle and Japan wax and their fractions, whether or not refined, but not chemically modified","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204264","5","151590210010","151590000080",,"1515 90","-- Tobacco-seed oil and its fractions",,,
"2204265","6","151590210020","151590210010",,,"--- Crude oil",,,
"2204266","7","151590210080","151590210020","1515 90 21",,"---- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Crude tobacco-seed oil, for technical or industrial uses (excl. for manufacture of foodstuffs)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204267","7","151590290080","151590210020","1515 90 29",,"---- Other","Crude tobacco-seed oil (excl. for technical or industrial uses)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204268","6","151590310010","151590210010",,,"--- Other",,,
"2204269","7","151590310080","151590310010","1515 90 31",,"---- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Tobacco-seed oil and its fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. for manufacture of foodstuffs and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204270","7","151590390080","151590310010","1515 90 39",,"---- Other","Tobacco-seed oil and its fractions, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204271","5","151590400010","151590000080",,"1515 90","-- Other oils and their fractions",,,
"2204272","6","151590400020","151590400010",,,"--- Crude oils",,,
"2204273","7","151590400080","151590400020","1515 90 40",,"---- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Crude fixed vegetable fats and oils and their fractions, for technical or industrial uses (excl. for production of foodstuffs, soya-bean, groundnut, olive, palm, sunflower-seed, safflower, cotton-seed, coconut, palm kernel, babassu, rape, colza and mustard, linseed, maize, castor, tung, sesame, jojoba, oiticica, myrtle, Japan wax and tobacco-seed oil)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204274","7","151590510010","151590400020",,,"---- Other",,,
"2204275","8","151590510080","151590510010","1515 90 51",,"----- Solid, in immediate packings of a net content not exceeding 1 kg","Solid crude fixed vegetable fats and oils, in immediate packings of <= 1 kg (excl. for technical or industrial uses and soya-bean, groundnut, olive, palm, sunflower-seed, safflower, cotton-seed, coconut, palm kernel, babassu, rape, colza and mustard, linseed, maize, castor, tung, sesame, jojoba, oiticica, myrtle, Japan wax and tobacco-seed oil)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204276","8","151590590080","151590510010","1515 90 59",,"----- Solid, other; fluid","Crude fixed vegetable fats and oils, in immediate packings of a content of > 1 kg, or crude, liquid (excl. those for technical or industrial uses; soya-bean, peanut, olive, palm, sunflower, safflower, cotton-seed, coconut, palm kernel, babassu, rubsen, mustard seed, linseed, maize germ, castor, tung, sesame, jojoba or oiticica oil; myrtle wax, japan wax and tobacco seed oil)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204277","6","151590600010","151590400010",,,"--- Other",,,
"2204278","7","151590600080","151590600010","1515 90 60",,"---- For technical or industrial uses other than the manufacture of foodstuffs for human consumption","Vegetable fats and oils and their fractions, whether or not refined (excl. chemically modified) for technical or industrial uses (excl. for the manufacture of foodstuffs; crude fats and oils; soya-bean, peanut, olive, palm, sunflower, safflower, cotton-seed, coconut, palm kernel, babassu, rubsen, mustard seed, linseed, maize germ, castor, tung, sesame, jojoba or oiticica oil; myrtle wax, japan wax and tobacco seed oil)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204279","7","151590910010","151590600010",,,"---- Other",,,
"2204280","8","151590910080","151590910010","1515 90 91",,"----- Solid, in immediate packings of a net content not exceeding 1 kg","Solid fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg, n.e.s. (excl. for technical or industrial uses and crude fats and oils)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204281","8","151590990080","151590910010","1515 90 99",,"----- Solid, other; fluid","Solid fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically modified, in immediate packings of > 1 kg, or liquid, n.e.s. (excl. for technical or industrial uses and crude fats and oils)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204282","3","151600000080","150021000090","1516","15","Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared","Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",,
"2204283","4","151610000080","151600000080","1516 10","1516","- Animal fats and oils and their fractions","Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",,
"2204284","5","151610100080","151610000080","1516 10 10","1516 10","-- In immediate packings of a net content not exceeding 1 kg","Animal fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, in immediate packings of <= 1 kg","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204285","5","151610900080","151610000080","1516 10 90","1516 10","-- Other","Animal fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, in immediate packings of > 1 kg or put up otherwise","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204286","4","151620000080","151600000080","1516 20","1516","- Vegetable fats and oils and their fractions","Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",,
"2204287","5","151620100080","151620000080","1516 20 10","1516 20","-- Hydrogenated castor oil, so called ‘opal-wax’","Hydrogenated castor oil, so called ""opal wax""","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204288","5","151620910010","151620000080",,"1516 20","-- Other",,,
"2204289","6","151620910080","151620910010","1516 20 91",,"--- In immediate packings of a net content not exceeding 1 kg","Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, in immediate packings of <= 1 kg (excl. hydrogenated castor oil ""opal wax"" and further prepared)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204290","6","151620950010","151620910010",,,"--- Other",,,
"2204291","7","151620950080","151620950010","1516 20 95",,"---- Colza, linseed, rapeseed, sunflower-seed, illipe, karite, makore, touloucouna or babassu oils, for technical or industrial uses other than the manufacture of foodstuffs for human consumption","Rapeseed, colza, linseed, sunflower-seed, illipe, karite, makore, touloucouna or babassu oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, for technical or industrial uses, in immediate packings with a net content of > 1 kg or otherwise prepared (excl. for the manufacture of foodstuffs for human consumption)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204292","7","151620960010","151620950010",,,"---- Other",,,
"2204293","8","151620960080","151620960010","1516 20 96",,"----- Groundnut, cotton-seed, soya-bean or sunflower-seed oils; other oils containing less than 50 % by weight of free fatty acids and excluding palm kernel, illipe, coconut, colza, rapeseed or copaiba oils","Groundnut, cotton-seed, soya-bean or sunflower-seed oil and their fractions (excl. those of subheading 1516.20.95); other oils and their fractions containing < 50% by weight of free fatty acids, in immediate packings with a net content of > 1 kg or otherwise prepared (excl. palm kernel, illipe, coconut ""copra"", rapeseed or copaiba oils, and oils of subheading 1516.20.95)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204294","8","151620980080","151620960010","1516 20 98",,"----- Other","Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, in immediate packings of > 1 kg or in another form (excl. fats and oils and their fractions, further prepared, hydrogenated castor oil and subheading 1516.20.95 and 1516.20.96)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204295","3","151700000080","150021000090","1517","15","Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils or their fractions of heading 1516","Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of different fats or oils (excl. fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, and mixtures of olive oils and their fractions)",,
"2204296","4","151710000080","151700000080","1517 10","1517","- Margarine, excluding liquid margarine","Margarine (excl. liquid)",,
"2204297","5","151710100080","151710000080","1517 10 10","1517 10","-- Containing, by weight, more than 10 % but not more than 15 % of milkfats","Margarine containing > 10% but <= 15% milkfats (excl. liquid)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204298","5","151710900080","151710000080","1517 10 90","1517 10","-- Other","Margarine containing <= 10% milkfats (excl. liquid)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204299","4","151790000080","151700000080","1517 90","1517","- Other","Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of different fats or oils (excl. fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, mixtures of olive oils and their fractions, and solid margarine)",,
"2204300","5","151790100080","151790000080","1517 90 10","1517 90","-- Containing, by weight, more than 10 % but not more than 15 % of milkfats","Edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils, with a milkfat content, by weight, of > 10% and <= 15% (excl. fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, mixtures of olive oils, olive oil fractions and fixed margarine)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204301","5","151790910010","151790000080",,"1517 90","-- Other",,,
"2204302","6","151790910080","151790910010","1517 90 91",,"--- Fixed vegetable oils, fluid, mixed","Edible fixed vegetable oils, fluid, mixed, containing <= 10% milkfats (excl. oils, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, and mixtures of olive oils)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204303","6","151790930080","151790910010","1517 90 93",,"--- Edible mixtures or preparations of a kind used as mould-release preparations","Edible mixtures or preparations for mould-release preparations, containing <= 10% milkfats","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2204304","6","151790990080","151790910010","1517 90 99",,"--- Other","Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of different fats or oils, containing <= 10% milkfats (excl. fixed vegetable oils, fluid, mixed, edible mixtures or preparations for mould-release preparations, and solid margarine)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
